nulls,facts,mysqlAdd,mysqlDel,neoAdd,neoDel
0,44157,274,283,30,51
50,16559,393,332,44,67
100,24839,443,382,60,84
190,2248,537,487,107,145
200,33118,543,482,97,113
250,82795,593,531,97,462
340,604,224,249,7,486
380,4496,728,680,178,232
500,49677,847,811,209,243
680,1208,320,344,7,482
950,11240,1297,1246,393,50
1000,24839,1349,1314,423,408
1183,16559,1534,1490,519,80
1700,3020,608,633,7,417
2000,33118,2350,2312,838,774
2366,33118,2717,2664,999,80
2500,82795,2849,2821,969,803
5000,82795,5350,5296,2018,1226
5915,82795,6266,6212,2434,nan
